"time_horizon","mean_car","car_95","cvar_95","method","car_95_kg","mean_car_kg"
27,0.366578052862367,0.676959555269111,0.785230580277386,"Spliced GPD",676.959555269111,366.578052862367
28,0.374914643195727,0.688145365871589,0.791976612688309,"Spliced GPD",688.145365871589,374.914643195727
29,0.383123817213961,0.697801692287411,0.795704775790072,"Spliced GPD",697.801692287411,383.123817213961
30,0.389596402341666,0.695221422080595,0.789641580419586,"Spliced GPD",695.221422080595,389.596402341666
31,0.397282478051311,0.696383044834355,0.796036896506286,"Spliced GPD",696.383044834355,397.282478051311
32,0.404488519475162,0.694464495877365,0.796279764159382,"Spliced GPD",694.464495877365,404.488519475162
33,0.411148273378745,0.696515555439633,0.796647447784827,"Spliced GPD",696.515555439633,411.148273378745
34,0.417511539976302,0.696933723614751,0.800732274632502,"Spliced GPD",696.933723614751,417.511539976302
35,0.423065206699332,0.70001430908812,0.802936347854,"Spliced GPD",700.01430908812,423.065206699332
36,0.429020541823831,0.703875298708648,0.809386312025618,"Spliced GPD",703.875298708648,429.020541823831
37,0.434511136238767,0.705514530934393,0.807488126584442,"Spliced GPD",705.514530934393,434.511136238767
38,0.439992273207113,0.707214081103064,0.810121989303149,"Spliced GPD",707.214081103064,439.992273207113
39,0.445592706765576,0.711361626712829,0.812804154512141,"Spliced GPD",711.361626712829,445.592706765576
40,0.450586887194037,0.717172884566022,0.814718810545212,"Spliced GPD",717.172884566022,450.586887194037
41,0.454432578123173,0.716608350474295,0.810774803389387,"Spliced GPD",716.608350474295,454.432578123173
42,0.458942991411815,0.714864475959991,0.814696618145931,"Spliced GPD",714.864475959991,458.942991411815
43,0.462952715980892,0.718993890840711,0.814057362687949,"Spliced GPD",718.993890840711,462.952715980892
44,0.468749661861204,0.725161414569681,0.821599345625552,"Spliced GPD",725.161414569681,468.749661861204
45,0.472996574274459,0.72700417379048,0.822073960643673,"Spliced GPD",727.00417379048,472.996574274459
46,0.477536013035033,0.73035613364866,0.824659634589163,"Spliced GPD",730.35613364866,477.536013035033
47,0.481946958877252,0.731626083298049,0.826705196435465,"Spliced GPD",731.626083298049,481.946958877252
48,0.484950318518071,0.729306125773042,0.824400830274735,"Spliced GPD",729.306125773042,484.950318518071
49,0.488201119782883,0.725411979027428,0.826740826957194,"Spliced GPD",725.411979027428,488.201119782883
