"time_horizon","mean_car","car_95","cvar_95","multiplier","label","regrowth_pct"
56,0.466598499653091,0.577540468332627,0.60196036422068,1,"1.0x baseline",2
57,0.469357533430428,0.579784401151722,0.603636663685531,1,"1.0x baseline",2
58,0.472120094033525,0.580206118823342,0.603994825311758,1,"1.0x baseline",2
59,0.475157750228155,0.58315218844405,0.607919238833125,1,"1.0x baseline",2
60,0.478246676802857,0.586990929017369,0.611179162767052,1,"1.0x baseline",2
61,0.480961938989878,0.588069795222151,0.613555360031027,1,"1.0x baseline",2
62,0.483135013139095,0.590227666058975,0.614220610374817,1,"1.0x baseline",2
63,0.485603181995529,0.593163402652295,0.617739851227818,1,"1.0x baseline",2
64,0.487545052684134,0.595527578256068,0.619820547727824,1,"1.0x baseline",2
65,0.490103502514754,0.596862567147036,0.620658375249515,1,"1.0x baseline",2
66,0.492508151677741,0.597138640600659,0.623787271774807,1,"1.0x baseline",2
67,0.495554259444486,0.599075432992846,0.625820219101347,1,"1.0x baseline",2
68,0.49745859927318,0.602869446075962,0.628990289879991,1,"1.0x baseline",2
69,0.499843446197858,0.603936391681048,0.631557248570505,1,"1.0x baseline",2
70,0.502225195670555,0.608159896046662,0.633646531839931,1,"1.0x baseline",2
71,0.503924942381596,0.60910966611851,0.63572402491778,1,"1.0x baseline",2
72,0.505456962928058,0.608818963566345,0.634759650997207,1,"1.0x baseline",2
73,0.507202501306857,0.610936559739524,0.636403572651989,1,"1.0x baseline",2
74,0.508850883412443,0.610033339801551,0.635132367386532,1,"1.0x baseline",2
75,0.510845144934443,0.612041824977297,0.637054666957302,1,"1.0x baseline",2
76,0.512739811299073,0.615818075071455,0.639538810128649,1,"1.0x baseline",2
77,0.514895836608201,0.618123964653895,0.642203798196407,1,"1.0x baseline",2
78,0.516741237619288,0.619388668014144,0.644463042111766,1,"1.0x baseline",2
79,0.517973509414938,0.619853999970749,0.644357815435959,1,"1.0x baseline",2
80,0.519921702499228,0.621231467012071,0.646072165908393,1,"1.0x baseline",2
81,0.521760320485349,0.624522755492582,0.648683775650739,1,"1.0x baseline",2
82,0.523755822932175,0.627093014151234,0.650056839503728,1,"1.0x baseline",2
83,0.525199796907101,0.626705049988117,0.650785573461804,1,"1.0x baseline",2
84,0.526880234088901,0.629762722694946,0.652942440597888,1,"1.0x baseline",2
85,0.528286955532588,0.631400576833125,0.655024644093023,1,"1.0x baseline",2
86,0.529943051028145,0.634139380198421,0.655501886265245,1,"1.0x baseline",2
87,0.531177161956513,0.634879238196137,0.656614375715924,1,"1.0x baseline",2
88,0.532828801391099,0.634595750194714,0.656824126495081,1,"1.0x baseline",2
89,0.534000360253309,0.636522103493533,0.660565162758685,1,"1.0x baseline",2
90,0.53547155174425,0.63874531278707,0.663771073205915,1,"1.0x baseline",2
91,0.536476450740353,0.640139904858751,0.662990371234133,1,"1.0x baseline",2
92,0.537971607821364,0.640972908127632,0.663902265583245,1,"1.0x baseline",2
93,0.539079120111605,0.64062648049972,0.664199018475774,1,"1.0x baseline",2
94,0.540909581560858,0.644258598277749,0.667363306352054,1,"1.0x baseline",2
95,0.542158753667533,0.642741041842983,0.667643709941391,1,"1.0x baseline",2
96,0.543507770953054,0.643815077139744,0.669880084148128,1,"1.0x baseline",2
97,0.544899543913714,0.644496062396004,0.671167667442685,1,"1.0x baseline",2
98,0.546179820288719,0.647238811466974,0.672327858406475,1,"1.0x baseline",2
99,0.547380284809635,0.647031961410435,0.67203079584344,1,"1.0x baseline",2
100,0.548597950473864,0.648809969532982,0.671888697648522,1,"1.0x baseline",2
